title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
The Exorcism of Emily Rose,http://www.abc.net.au/atthemovies/txt/s1482145.htm,10/19/2005,27/10/2005,MA15+,119,Drama/Thriller,Laura Linney,Scott Derrickson,English,Sony Pictures Releasing,3.5,3.5,7
The Golden Compass,http://www.abc.net.au/atthemovies/txt/s2099655.htm,12/16/2007,26/12/2007,PG,113,Fantasy/Drama,Nicole Kidman,Chris Weitz,English,Roadshow,3.5,3.5,7
The Good German,http://www.abc.net.au/atthemovies/txt/s1850965.htm,2/28/2007,1/3/2007,MA15+,108,Drama,George Clooney,Steven Soderbergh,English,Roadshow Films,3.5,3.5,7
The Good Shepherd,http://www.abc.net.au/atthemovies/txt/s1840535.htm,2/14/2007,15/02/2007,M,167,Drama,Matt Damon,Robert De Niro,English,Paramount Pictures,4,3,7
The Grandmaster,http://www.abc.net.au/atthemovies/txt/s4078485.htm,9/2/2014,4/9/2014,M,108,"Action, Biography, Drama",Tony Chiu Wai Leung,Kar Wai Wong,Chinese,Roadshow Films,3.5,3.5,7
The Hangover,http://www.abc.net.au/atthemovies/txt/s2566510.htm,6/10/2009,11/6/2009,MA15+,99,Comedy,Bradley Cooper,Todd Phillips,English,Roadshow,3.5,3.5,7
The Hobbit : An Unexpected Journey,http://www.abc.net.au/atthemovies/txt/s3683783.htm,2/19/2013,26/12/2012,M,169,"Fantasy, Drama",Ian McKellen,Peter Jackson,English,Roadshow,3.5,3.5,7
The Hunger Games: Catching Fire,http://www.abc.net.au/atthemovies/txt/s3898368.htm,11/26/2013,21/11/2013,M,146,Drama,Jennifer Lawrence,Francis Lawrence,English,Roadshow Films,3.5,3.5,7
The Infinite Man,http://www.abc.net.au/atthemovies/txt/s4087703.htm,9/16/2014,18/09/2014,MA15+,81,Comedy,Josh McConville,Hugh Sullivan,English,Infinite Releasing,3.5,3.5,7
The International,http://www.abc.net.au/atthemovies/txt/s2476075.htm,2/18/2009,19/02/2009,MA15+,118,Thriller,Clive Owen,Tom Tykwer,English,Sony Pictures,3.5,3.5,7
The Invisible Woman,http://www.abc.net.au/atthemovies/txt/s3982815.htm,4/15/2014,17/04/2014,M,111,"Biography, Drama",Ralph Fiennes,Ralph Fiennes,English,Entertainment One,3,4,7
The Island,http://www.abc.net.au/atthemovies/txt/s1417807.htm,7/20/2005,28/07/2005,,,Action / Thriller,Ewan McGregor,Michael Bay,English,Roadshow Films,4,3,7
The Jacket,http://www.abc.net.au/atthemovies/txt/s1428090.htm,8/3/2005,11/8/2005,MA15+,103,Thriller,Louis Klamroth,John Maybury,English,Hoyts Entertainment,3,4,7
The Judge,http://www.abc.net.au/atthemovies/txt/s4099154.htm,10/7/2014,9/10/2014,M,142,Drama,Robert Downey Jr,David Dobkin,English,Roadshow,3,4,7
The King Is Dead!,http://www.abc.net.au/atthemovies/txt/s3537882.htm,7/11/2012,12/7/2012,MA15+,102,"Comedy, Drama",Dan Wyllie,Rolf de Heer,English,Pinnacle Films,4,3,7
The Last Impresario,http://www.abc.net.au/atthemovies/txt/s4026180.htm,6/24/2014,26/06/2014,M,85,"Documentary, Biography",Themselves,Gracie Otto,English,Umbrella Entertainment,4,3,7
The Life Aquatic With Steve Zissou,http://www.abc.net.au/atthemovies/txt/s1309304.htm,3/16/2005,17/03/2005,M,118,Black Comedy,Bill Murray,Wes Anderson,English,Buena Vista International,3.5,3.5,7
The Light,http://www.abc.net.au/atthemovies/txt/s1788454.htm,11/22/2006,23/11/2006,M,97,Drama,Sandrine Bonnaire,Philippe Lioret,French,Gil Scrine Films,3.5,3.5,7
The Lincoln Lawyer,http://www.abc.net.au/atthemovies/txt/s3163491.htm,3/30/2011,31/03/2011,M,119,Drama,Matthew McConaughey,Brad Furman,English,Roadshow Films,3.5,3.5,7
The Loved Ones,http://www.abc.net.au/atthemovies/txt/s3044675.htm,11/3/2010,4/11/2010,MA15+,84,Horror,Xavier Samuel,Sean Byrne,English,Madman,3.5,3.5,7
The Machinist,http://www.abc.net.au/atthemovies/txt/s1381240.htm,6/1/2005,2/6/2005,M,107,Thriller,Christian Bale,Brad Anderson,English,Rialto Entertainment,3.5,3.5,7
The Magician,http://www.abc.net.au/atthemovies/txt/s1469468.htm,9/28/2005,29/09/2005,MA15+,85,Darkly Comic Fictionalised Documentary,Scott Ryan,Scott Ryan,English,Hopscotch,3.5,3.5,7
The Men Who Stare at Goats,http://www.abc.net.au/atthemovies/txt/s2820912.htm,2/24/2010,24/02/2010,M,93,"Comedy, War",George Clooney,Grant Heslov,English,Sony Pictures,3.5,3.5,7
The Miracle of Bern,http://www.abc.net.au/atthemovies/txt/s1423384.htm,7/27/2005,28/07/2005,PG,117,Drama,Louis Klamroth,Sonke Wortmann,German,Gil Scrine Films,3,4,7
The Mother,http://www.abc.net.au/atthemovies/txt/s1137498.htm,7/1/2004,1/7/2004,MA15+,111,"Drama,",Anne Reid,Roger Michell,English,Dendy Films,3.5,3.5,7
The Notebook,http://www.abc.net.au/atthemovies/txt/s1218529.htm,10/14/2004,14/10/2004,PG,124,Drama,Ryan Gosling,Nick Cassavetes,English,Roadshow Films,4.5,2.5,7
The Other Son,http://www.abc.net.au/atthemovies/txt/s3732913.htm,4/16/2013,18/04/2013,M,101,Drama,Emmanuelle Devos,Lorraine Levy,French,Curious Distribution,3.5,3.5,7
The Private Lives of Pippa Lee,http://www.abc.net.au/atthemovies/txt/s2709684.htm,10/21/2009,,M,98,Drama,Robin Wright Penn,Rebecca Miller,English,Icon,4,3,7
The Raid 2,http://www.abc.net.au/atthemovies/txt/s3966139.htm,4/1/2014,28/03/2014,R18+,148,"Action, Crime, Thriller",Iko Uwais,Gareth Evans,English,Madman Cinema,3.5,3.5,7
The Selfish Giant,http://www.abc.net.au/atthemovies/txt/s4050404.htm,7/29/2014,31/07/2014,MA15+,90,Drama,Conner Chapman,Clio Barnard,English,Rialto Distribution,4,3,7
The Soloist,http://www.abc.net.au/atthemovies/txt/s2656437.htm,9/2/2009,3/9/2009,M,113,"Biography, Drama, Music",Jamie Foxx,Joe Wright,English,Universal Pictures,3,4,7
The Tree,http://www.abc.net.au/atthemovies/txt/s3005056.htm,9/29/2010,30/09/2010,M,97,"Drama, Family",,Julie Bertuccelli,English,Transmission Films,3.5,3.5,7
The Wackness,http://www.abc.net.au/atthemovies/txt/s2402348.htm,11/12/2008,13/11/2008,MA15+,99,Comedy/Drama,Ben Kingsley,Jonathan Levine,English,Madman,3.5,3.5,7
The War On Democracy,http://www.abc.net.au/atthemovies/txt/s2023871.htm,9/26/2007,27/09/2007,M,96,Documentary,,Christopher Martin,English,Hopscotch,4,3,7
The Wind Rises,http://www.abc.net.au/atthemovies/txt/s3938341.htm,2/25/2014,27/02/2014,PG,127,"Animation, Biography, Drama",Joseph Gordon-Levitt,Hayao Miyazaki,English,Madman,3.5,3.5,7
The Women on the 6th Floor,http://www.abc.net.au/atthemovies/txt/s3376795.htm,11/30/2011,15/12/2011,PG,102,Comedy,,Philipe Le Guay,French,Palace Films,3.5,3.5,7
The World's Fastest Indian,http://www.abc.net.au/atthemovies/txt/s1599863.htm,3/29/2006,6/4/2006,PG,121,Drama,Anthony Hopkins,Roger Donaldson,English,Becker Entertainment,3,4,7
The Young and Prodigious T.S. Spivet,http://www.abc.net.au/atthemovies/txt/s4109114.htm,10/21/2014,30/10/2014,M,105,"Action, Adventure, Drama",Kyle Catlett,Jean-Pierre Jeunet,English,Madman Cinema,3.5,3.5,7
Thirst,http://www.abc.net.au/atthemovies/txt/s2608550.htm,7/1/2009,25/06/2009,MA15+,134,Horror/Comedy,Song Kang-ho,Park Chan-wook,Korean,Madman Cinema,3.5,3.5,7
Three Blind Mice,http://www.abc.net.au/atthemovies/txt/s2642558.htm,8/12/2009,20/08/2009,M,94,"Comedy, Drama",Matthew Newton,Matthew Newton,English,Titan View,3.5,3.5,7
Tomorrow When The War Began,http://www.abc.net.au/atthemovies/txt/s2985210.htm,9/1/2010,2/9/2010,M,104,"Drama, Adventure, Action",Caitlin Stasey,Stuart Beattie,English,Hopscotch,3.5,3.5,7
Tower Heist,http://www.abc.net.au/atthemovies/txt/s3374202.htm,11/30/2011,26/12/2011,M,104,"Action, Comedy, Crime",Ben Stiller,Brett Ratner,English,Universal Pictures International,3.5,3.5,7
Traitor,http://www.abc.net.au/atthemovies/txt/s2381495.htm,11/5/2008,6/11/2008,M,114,Drama,Don Cheadle,Jeffrey Nachmanoff,English,Paramount Pictures Australia,3.5,3.5,7
Transformers,http://www.abc.net.au/atthemovies/txt/s1950144.htm,6/27/2007,28/06/2007,M,143,Sci/Fi,Shia LaBeouf,Michael Bay,English,Paramount Pictures Australia,3.5,3.5,7
Travellers & Magicians,http://www.abc.net.au/atthemovies/txt/s1353639.htm,4/27/2005,5/5/2005,PG,108,Drama,Tshewang Dendup,Khyentse Norbu,,Serenity Films,4,3,7
Triangle,http://www.abc.net.au/atthemovies/txt/s2860102.htm,4/28/2010,29/04/2010,MA15+,99,Psychological thriller,Melissa George,Christopher Smith,English,Icon Film Distribution,3.5,3.5,7
Tristan & Isolde,http://www.abc.net.au/atthemovies/txt/s1578859.htm,3/8/2006,16/03/2006,,125,Drama,James Franco,Kevin Reynolds,English,20th Century Fox,4,3,7
Tropic Thunder,http://www.abc.net.au/atthemovies/txt/s2317845.htm,8/20/2008,21/08/2008,MA15+,107,Comedy,Ben Stiller,Ben Stiller,English,Paramount Pictures Australia,3.5,3.5,7
Twenty Feet From Stardom,http://www.abc.net.au/atthemovies/txt/s3882349.htm,11/12/2013,21/11/2013,M,90,Documentary,Themselves,Morgan Neville,English,Transmission Films,3.5,3.5,7
Two Brothers,http://www.abc.net.au/atthemovies/txt/s1244112.htm,11/18/2004,25/11/2004,PG,105,Drama,Guy Pearce,Jean-Jacques Annaud,English,Roadshow,3.5,3.5,7
"Two Fists, One Heart",http://www.abc.net.au/atthemovies/txt/s2502354.htm,3/18/2009,19/03/2009,M,105,Action Drama,Daniel Amalm,Shawn Seet,English,Walt Disney Studios,4,3,7
Under the Skin,http://www.abc.net.au/atthemovies/txt/s3993348.htm,5/20/2014,29/05/2014,MA15+,108,"Drama, Thriller, Sci-Fi",Scarlett Johansson,Jonathan Glazer,English,Roadshow Films,3,4,7
Ushpizin,http://www.abc.net.au/atthemovies/txt/s1569807.htm,2/22/2006,23/02/2006,PG,92,Drama,Shalom Rand,Gidi Dar,English,Champion Pictures Distribution,3.5,3.5,7
V For Vendetta,http://www.abc.net.au/atthemovies/txt/s1601485.htm,3/29/2006,30/03/2006,MA15+,132,Sci/Fi,Natalie Portman,James McTeiguie,English,Roadshow,3.5,3.5,7
Van Diemen's Land,http://www.abc.net.au/atthemovies/txt/s2671830.htm,9/23/2009,24/09/2009,MA15+,104,Thriller,Oscar Redding,Jonathan auf der Heide,English,Madman,3,4,7
Vincent Wants To Sea,http://www.abc.net.au/atthemovies/txt/s3435135.htm,3/14/2012,15/03/2012,MA15+,91,Drama,Florian David Fitz,Ralf Huettner,English,Umbrella Entertainment,4,3,7
W.,http://www.abc.net.au/atthemovies/txt/s2476190.htm,2/25/2009,26/02/2009,M,83,Drama,Josh Brolin,Oliver Stone,English,Hoyts,3.5,3.5,7
Waitress,http://www.abc.net.au/atthemovies/txt/s2053938.htm,10/24/2007,25/10/2007,M,108,Comedy/Romance,Keri Russell,Adrienne Shelly,English,20th Century Fox,3.5,3.5,7
Walesa. Man Of Hope,http://www.abc.net.au/atthemovies/txt/s4017238.htm,6/10/2014,19/06/2014,M,119,"Biography, Drama",Robert Wieckiewicz,Andrzej Wajda,Polish,Puma Media,3,4,7
Walk on Water,http://www.abc.net.au/atthemovies/txt/s1358934.htm,5/4/2005,5/5/2005,M,103,Drama,Lior Ashkenazi,Eytan Fox,,Sharmill Films,4,3,7
Warrior,http://www.abc.net.au/atthemovies/txt/s3325815.htm,10/19/2011,27/10/2011,M,140,"Dram, Action, Sport",Joel Edgerton,Gavin O&apos;Connor,English,Roadshow Films,3.5,3.5,7
We Are The Best,http://www.abc.net.au/atthemovies/txt/s4092374.htm,9/23/2014,18/09/2014,MA15+,102,Drama,Mira Barkhammar,Lukas Moodysson,Swedish,,3.5,3.5,7
West,http://www.abc.net.au/atthemovies/txt/s1963466.htm,7/4/2007,5/7/2007,MA15+,98,Drama,Khan Chittenden,Daniel Krige,English,Palace Films,4,3,7
Where The Truth Lies,http://www.abc.net.au/atthemovies/txt/s1623201.htm,5/3/2006,11/5/2006,R18+,107,Drama,Kevin Bacon,Atom Egoyan,English,Roadshow Films,3.5,3.5,7
Whip It,http://www.abc.net.au/atthemovies/txt/s2692975.htm,10/7/2009,8/10/2009,M,111,"Comedy, Drama",Ellen Page,Drew Barrymore,English,Roadshow,3.5,3.5,7
Win Win,http://www.abc.net.au/atthemovies/txt/s3281174.htm,8/17/2011,18/08/2011,M,106,"Comedy, Drama",Paul Giamatti,Tom McCarthy,English,20th Century Fox,3.5,3.5,7
Wordplay,http://www.abc.net.au/atthemovies/txt/s1768115.htm,10/25/2006,26/10/2006,G,85,Documentary,,Patrick Creadon,English,Roadshow Films,3.5,3.5,7
World Trade Center,http://www.abc.net.au/atthemovies/txt/s1747874.htm,10/4/2006,5/10/2006,M,125,Drama,Nicolas Cage,Oliver Stone,English,UIP,3.5,3.5,7
World War Z,http://www.abc.net.au/atthemovies/txt/s3779854.htm,6/18/2013,20/06/2013,M,116,"Action, Horror, Sci-Fi",Brad Pitt,Marc Forster,English,Paramount Pictures Australia,3.5,3.5,7
X-Men: Days Of Future Past,http://www.abc.net.au/atthemovies/txt/s4003428.htm,5/20/2014,22/05/2014,M,123,"Action, Adventure, Fantasy",Patrick Stewart,Bryan Singer,English,20th Century Fox,3.5,3.5,7
Young & Beautiful,http://www.abc.net.au/atthemovies/txt/s3985189.htm,4/29/2014,1/5/2014,R18+,95,Drama,Marine Vacth,Francois Ozon,French,Entertainment One,4,3,7
Young Adam,http://www.abc.net.au/atthemovies/txt/s1329316.htm,4/6/2005,7/4/2005,MA15+,94,Crime,Ewan McGregor,David Mackenzie,English,Madman Cinema,3,4,7
Yves Saint Laurent,http://www.abc.net.au/atthemovies/txt/s4026179.htm,6/24/2014,26/06/2014,M,100,"Biography, Drama",Pierre Niney,Jalil Lespert,French,Entertainment One,4,3,7
Zathura,http://www.abc.net.au/atthemovies/txt/s1578029.htm,3/8/2006,9/3/2006,PG,101,Drama,Josh Hutcherson,Jon Favreau,English,Sony Pictures Releasing,3.5,3.5,7
2:37,http://www.abc.net.au/atthemovies/txt/s1714056.htm,8/16/2006,17/08/2006,R18+,94,Drama,Teresa Palmer,Murali K. Thalluri,English,Roadshow Films,3.5,3,6.5
A Common Thread,http://www.abc.net.au/atthemovies/txt/s1358052.htm,5/18/2005,19/05/2005,M,85,Drama,Lola Naymark,&#xFFFD;l&#xFFFD;onore Faucher,,Potential Films,3,3.5,6.5
A Complete History Of My Sexual Failures,http://www.abc.net.au/atthemovies/txt/s2514335.htm,3/25/2009,,R18+,94,Documentary,,Chris Waitt,English,Madman,3.5,3,6.5
A Film With Me In It,http://www.abc.net.au/atthemovies/txt/s2527687.htm,4/22/2009,,M,83,Comedy/Thriller,Dylan Moran,Ian Fitzgibbon,English,Beyond Film Distribution,3,3.5,6.5
A Man's Gotta Do,http://www.abc.net.au/atthemovies/txt/s1233226.htm,11/4/2004,4/11/2004,MA15+,93,Comedy,John Howard,Chris Kennedy,English,Hopscotch,3,3.5,6.5
A Place For Me,http://www.abc.net.au/atthemovies/txt/s3751369.htm,5/14/2013,16/05/2013,MA15+,97,"Comedy, Drama",Greg Kinnear,Josh Boone,English,Becker Film Group,3.5,3,6.5
Acolytes,http://www.abc.net.au/atthemovies/txt/s2535808.htm,4/15/2009,,MA15+,91,Thriller,Joel Edgerton,Jon Hewitt,English,Palace Films,3.5,3,6.5
Adam,http://www.abc.net.au/atthemovies/txt/s2642579.htm,8/19/2009,20/08/2009,M,99,"Comedy, Drama, Romance",Hugh Dancy,Max Mayer,English,20th Century Fox,3.5,3,6.5
Advanced Style,http://www.abc.net.au/atthemovies/txt/s4096516.htm,9/30/2014,2/10/2014,PG,72,"Documentary, Biography, Comedy",Themselves,Lina Plioplyte,English,Madman Cinema,3.5,3,6.5
Air Guitar Nation,http://www.abc.net.au/atthemovies/txt/s2023630.htm,9/26/2007,27/09/2007,M,82,Documentary,,Alexandra Lipsitz,English,Aztec International,3.5,3,6.5
All My Friends Are Leaving Brisbane,http://www.abc.net.au/atthemovies/txt/s2073846.htm,11/14/2007,15/11/2007,M,76,Romantic Comedy,Charlotte Gregg,Louise Alston,English,Accent Films,3,3.5,6.5
American Dreamz,http://www.abc.net.au/atthemovies/txt/s1608967.htm,4/19/2006,27/04/2006,M,107,Drama,Hugh Grant,Paul Weitz,English,UIP,3,3.5,6.5
Amreeka,http://www.abc.net.au/atthemovies/txt/s2738619.htm,11/18/2009,19/11/2009,M,97,Drama,Nisreen Faour,Cherien Dabis,,Sharmill Films,3.5,3,6.5
And When Did You Last See Your Father?,http://www.abc.net.au/atthemovies/txt/s2284414.htm,7/23/2008,31/07/2008,M,89,Drama,Jim Broadbent,Anand Tucker,English,Icon,3.5,3,6.5
Antichrist,http://www.abc.net.au/atthemovies/txt/s2739792.htm,11/25/2009,26/11/2009,R18+,104,"Drama, Horror",Willem Dafoe,Lars von Trier,English,Transmission Films,4.5,2,6.5
Antiviral,http://www.abc.net.au/atthemovies/txt/s3732926.htm,4/23/2013,25/04/2013,MA15+,108,"Horror, Sci-Fi",Caleb Landry Jones,Brandon Cronenberg,English,Rialto Distribution,3,3.5,6.5
Anton Chekhov's The Duel,http://www.abc.net.au/atthemovies/txt/s3509329.htm,6/6/2012,7/6/2012,PG,94,Drama,andrew Scott,Dover Koshashvili,English,Rialto Distribution,4,2.5,6.5
Any Questions For Ben?,http://www.abc.net.au/atthemovies/txt/s3422392.htm,2/8/2012,9/2/2012,M,114,Romantic Comedy,Josh Lawson,Rob Sitch,English,Roadshow Films,3,3.5,6.5
Anything For her,http://www.abc.net.au/atthemovies/txt/s3044668.htm,11/3/2010,4/11/2010,M,96,"Crime, Drama, Romance",Vincent Lindon,Fred Cavaye,French,Rialto Distribution,3.5,3,6.5
Away We Go,http://www.abc.net.au/atthemovies/txt/s2739799.htm,12/6/2009,10/12/2009,MA15+,88,"Comedy, Drama",John Krasinski,Sam Mendes,English,Universal Pictures Australia,3,3.5,6.5
Beneath Hill 60,http://www.abc.net.au/atthemovies/txt/s2852860.htm,4/7/2010,15/04/2010,M,122,War,Brendan Cowell,Jeremy Hartley Sims,English,Paramount Pictures Australia,3.5,3,6.5
Beyond The Sea,http://www.abc.net.au/atthemovies/txt/s1675427.htm,7/12/2006,13/07/2006,M,118,Drama,Kevin Spacey,Kevin Spacey,English,Imagine Entertainment,3,3.5,6.5
Birth,http://www.abc.net.au/atthemovies/txt/s1348481.htm,4/20/2005,28/04/2005,MA15+,100,Drama,Nicole Kidman,Jonathan Glazer,English,Roadshow Films,4,2.5,6.5
Boxing Day,http://www.abc.net.au/atthemovies/txt/s2086437.htm,11/21/2007,22/11/2007,MA15+,82,Drama,Richard Green,Kriv Stenders,English,Smoking Gun Productions,3.5,3,6.5
BoyTown,http://www.abc.net.au/atthemovies/txt/s1756113.htm,10/18/2006,19/10/2006,M,88,Drama,Glenn Robbins,Kevin Carlin,English,Roadshow Films,4,2.5,6.5
Bra Boys,http://www.abc.net.au/atthemovies/txt/s1864026.htm,3/14/2007,15/03/2007,M,90,Documentary,,Sunny Abberton,English,Hopscotch,4,2.5,6.5
Bride and Prejudice,http://www.abc.net.au/atthemovies/txt/s1299386.htm,2/16/2005,17/02/2005,PG,111,Bollywood meets British Musical,Aishwarya Rai,Gurinder Chadha,English,Roadshow Films,3.5,3,6.5
Broken City,http://www.abc.net.au/atthemovies/txt/s3697734.htm,3/5/2013,7/3/2013,MA15+,109,"Crime, Drama, Thriller",Mark Wahlberg,Allen Hughes,English,Hoyts Distribution,3,3.5,6.5
Bronson,http://www.abc.net.au/atthemovies/txt/s2632314.htm,8/5/2009,6/8/2009,MA15+,93,Action Drama Thriller Biography,Tom Hardy,Nicolas Winding Refn,English,Madman,4,2.5,6.5
Buck,http://www.abc.net.au/atthemovies/txt/s3426627.htm,2/15/2012,16/02/2012,PG,88,Documentary,Buck Brannaman,CindyMeehl,English,Madman,4,2.5,6.5
Buddha's Lost Children,http://www.abc.net.au/atthemovies/txt/s2061752.htm,10/24/2007,,PG,98,Documentary,,Mark Verkerk,Thai,Aztec International,3,3.5,6.5
Captain America: The Winter Soldier,http://www.abc.net.au/atthemovies/txt/s3966130.htm,4/1/2014,3/4/2014,M,136,"Action, Adventure, Sci-Fi",Chris Evans,Anthony &amp; Joe Russo,English,Marvel,3.5,3,6.5
Captain America: The first Avenger,http://www.abc.net.au/atthemovies/txt/s3261483.htm,7/27/2011,28/07/2011,M,124,"Action, Adventure, Fantasy",Chris Evans,Joe Johnston,English,Paramount Pictures Australia,3,3.5,6.5
Careless Love,http://www.abc.net.au/atthemovies/txt/s3492151.htm,5/16/2012,17/05/2012,MA15+,103,Drama,Nammi Le,John Duigan,English,Antidote Films,3,3.5,6.5
Certified Copy,http://www.abc.net.au/atthemovies/txt/s3093992.htm,2/16/2011,17/02/2011,M,106,Drama,Juliettte Binoche,Abbas Kiarostami,English,Madman,3.5,3,6.5
Change Of Address,http://www.abc.net.au/atthemovies/txt/s1950343.htm,6/27/2007,28/06/2007,PG,85,Comedy,Emmanuel Mouret,Emmanuel Mouret,French,Sharmill Films,3,3.5,6.5
Chinese Puzzle,http://www.abc.net.au/atthemovies/txt/s3982805.htm,4/15/2014,17/04/2014,M,117,"Comedy, Drama, Romance",Romain Duris,Cedric Klapisch,English,Transmission Films,3,3.5,6.5
Chloe,http://www.abc.net.au/atthemovies/txt/s3023113.htm,10/13/2010,14/10/2010,MA15+,96,"Drama, Thriller",Julianne Moore,Atom Egoyan,English,Icon Film Distribution,3.5,3,6.5
Chokher Bali: A Passion Play,http://www.abc.net.au/atthemovies/txt/s1392583.htm,6/15/2005,16/06/2005,PG,127,Indian Drama,,Rituparno Ghosh,English,Sony Pictures Releasing,3,3.5,6.5
Cloudy With A Chance of Meatballs,http://www.abc.net.au/atthemovies/txt/s2738634.htm,11/25/2009,26/11/2009,G,90,"Animation, Family",Voices,Phil Lord,English,Sony Pictures Australia,3,3.5,6.5
Contraband,http://www.abc.net.au/atthemovies/txt/s3430700.htm,2/22/2012,23/02/2012,MA15+,110,"Action, Crime, Drama, Thriller",Mark Wahlberg,Baltasar Kormakur,English,Universal Pictures International,3.5,3,6.5
Conviction,http://www.abc.net.au/atthemovies/txt/s3136509.htm,2/23/2011,24/02/2011,M,107,"Biography, Drama",Sam Rockwell,Tony Goldwyn,English,20th Century Fox,3.5,3,6.5
Copacabana,http://www.abc.net.au/atthemovies/txt/s3044694.htm,11/24/2010,25/11/2010,M,101,Comedy,Isabelle Huppert,Marc Fitoussi,French,Jump Street &amp; Sharmill Films,3,3.5,6.5
Crazy Love,http://www.abc.net.au/atthemovies/txt/s2086524.htm,11/21/2007,22/11/2007,M,92,Documentary,,Dan Klores,English,Palace,2.5,4,6.5
Date Night,http://www.abc.net.au/atthemovies/txt/s2852876.htm,4/14/2010,8/4/2010,M,88,"Action, Comedy, Romance",Steve Carell,Shawn Levy,English,20th Century Fox,3,3.5,6.5
Dave Chappelle's Block Party,http://www.abc.net.au/atthemovies/txt/s1631735.htm,5/3/2006,4/5/2006,M,103,Music/Comedy Concert,Bob Yari,Michel Gondry,English,Hopscotch,3.5,3,6.5
Dean Spanley,http://www.abc.net.au/atthemovies/txt/s2493343.htm,3/4/2009,5/3/2009,G,100,Comedy/Drama,Sam Neill,Toa Fraser,English,Paramount Pictures Australia,3.5,3,6.5
Decoding Annie Parker,http://www.abc.net.au/atthemovies/txt/s4109078.htm,10/21/2014,23/10/2014,M,100,Drama,Samatha Morton,Steven Berstein,English,Pinnacle Films,3.5,3,6.5
Despicable Me,http://www.abc.net.au/atthemovies/txt/s2985260.htm,9/8/2010,16/09/2010,PG,95,"Animation, Comedy, Family",,Pierre Coffin,English,Universal Pictures International,3,3.5,6.5
Diana,http://www.abc.net.au/atthemovies/txt/s3855233.htm,10/15/2013,10/10/2013,M,113,"Biography, Drama, Romance",Naomi Watts,Oliver Hirschbiegel,English,Becker Film Group,3.5,3,6.5
Divergent,http://www.abc.net.au/atthemovies/txt/s3970024.htm,4/8/2014,10/4/2014,M,139,"Action, Adventure, Sci-Fi",Shailene Woodley,Neil Burger,English,Entertainment One,3.5,3,6.5
Don't Move,http://www.abc.net.au/atthemovies/txt/s1237170.htm,11/11/2004,11/11/2004,MA15+,117,Drama,Penelope Cruz,Sergio Castellitto,Italian,Dendy Films,4,2.5,6.5
Duplicity,http://www.abc.net.au/atthemovies/txt/s2502300.htm,3/18/2009,19/03/2009,PG,125,Thriller,Julia Roberts,Tony Gilroy,English,Universal Pictures,3,3.5,6.5
Earth,http://www.abc.net.au/atthemovies/txt/s2258529.htm,6/4/2008,29/05/2008,G,95,Documentary,,Mark Linfield,English,Hoyts,3.5,3,6.5
Elizabethtown,http://www.abc.net.au/atthemovies/txt/s1488871.htm,10/26/2005,3/11/2005,M,118,Comedy,Orlando Bloom,Cameron Crowe,English,United International Pictures,3,3.5,6.5
Fast Food Nation,http://www.abc.net.au/atthemovies/txt/s1758623.htm,10/18/2006,26/10/2006,M,114,Drama,Greg Kinnear,Richard Linklater,English,Dendy Films,3,3.5,6.5
Feast Of Love,http://www.abc.net.au/atthemovies/txt/s2162723.htm,2/27/2008,28/02/2008,MA15+,101,Drama,Morgan Freeman,Robert Benton,English,Roadshow,3.5,3,6.5
First Position,http://www.abc.net.au/atthemovies/txt/s3720869.htm,4/9/2013,11/4/2013,G,94,Documentary,As themselves,Bess Kargman,English,Hopscotch,3,3.5,6.5
Footnote,http://www.abc.net.au/atthemovies/txt/s3464894.htm,4/11/2012,19/04/2012,PG,106,Drama,Lior Ashkenazi,Joseph Cedar,,Hopscotch,3,3.5,6.5
Force Majeure,http://www.abc.net.au/atthemovies/txt/s4092394.htm,10/7/2014,16/10/2014,M,118,Drama,Johannes Kuhnke,Ruben Ostlund,French,Sharmill Films,3,3.5,6.5
Four Brothers,http://www.abc.net.au/atthemovies/txt/s1498063.htm,11/9/2005,10/11/2005,M,110,Action Drama,Mark Wahlberg,John Singleton,English,UIP,3.5,3,6.5
Four Lions,http://www.abc.net.au/atthemovies/txt/s2970912.htm,8/17/2010,19/08/2010,,101,"Comedy, Drama",Riz Ahmed,Christopher Morris,English,Hopscotch,3,3.5,6.5
Four Minutes,http://www.abc.net.au/atthemovies/txt/s1949993.htm,6/20/2007,28/06/2007,MA15+,112,Drama,Monica Bleibtreu,Chris Kraus,German,Madman Cinema,3,3.5,6.5
Friends With Benefits,http://www.abc.net.au/atthemovies/txt/s3281185.htm,8/17/2011,18/08/2011,MA15+,109,"Comedy, Romance",Justin Timberlake,Will Gluck,English,Sony Pictures Releasing,3.5,3,6.5
Fright Night,http://www.abc.net.au/atthemovies/txt/s3320852.htm,9/21/2011,15/09/2011,MA15+,106,"Comedy, Horror",Colin Farrell,Craig Gillespie,English,Walt Disney Studios,3.5,3,6.5
Garbage Warrior,http://www.abc.net.au/atthemovies/txt/s2317859.htm,8/20/2008,,M,85,Documentary,Michael Reynolds,Oliver Hodge,English,Hopscotch,3,3.5,6.5
Get Him To The Greek,http://www.abc.net.au/atthemovies/txt/s2917503.htm,6/16/2010,17/06/2010,MA15+,109,Comedy,Russell Brand,Nicholas Stoller,English,Universal Pictures International,3,3.5,6.5
