title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
Up,http://www.abc.net.au/atthemovies/txt/s2656440.htm,9/2/2009,9/9/2009,PG,96,"Animation, Action, Adventure, Comedy, Family",,Pete Docter,English,Walt Disney,4.5,4.5,9
Waltz With Bashir,http://www.abc.net.au/atthemovies/txt/s2335672.htm,9/3/2008,4/9/2008,MA15+,90,Animation,,Ari Folman,English,Sharmill Films,4.5,4.5,9
Winter Sleep,http://www.abc.net.au/atthemovies/txt/s4125214.htm,11/11/2014,13/11/2014,M,196,Drama,Haluk Bilginer,Nuri Bilge Ceylan,,Sharmill Films,4.5,4.5,9
Winter's Bone,http://www.abc.net.au/atthemovies/txt/s3044674.htm,11/3/2010,11/11/2010,MA15+,100,"Drama, Mystery, Thriller",Jennifer Lawrence,Debra Granik,English,Curious Distribution,4.5,4.5,9
Zodiac,http://www.abc.net.au/atthemovies/txt/s1912024.htm,5/16/2007,17/05/2007,MA15+,157,Thriller,Jake Gyllenhaal,David Fincher,English,Roadshow Films,4.5,4.5,9
2046,http://www.abc.net.au/atthemovies/txt/s1370756.htm,5/18/2005,26/05/2005,M,129,Drama / Romance / Science Fiction,Tony Leung,WONG KAR WAI,Chinese,Hopscotch,4.5,4,8.5
A History of Violence,http://www.abc.net.au/atthemovies/txt/s1580979.htm,3/1/2006,9/3/2006,MA15+,96,Drama,Viggo Mortensen,David Cronenberg,English,Roadshow Films,4.5,4,8.5
Agora,http://www.abc.net.au/atthemovies/txt/s3044689.htm,11/10/2010,18/11/2010,MA15+,127,"Adventure, Drama, History, Romance",Rachel Weisz,Alejandro Amenabar,English,Transmission Films,4,4.5,8.5
Anna Karenina,http://www.abc.net.au/atthemovies/txt/s3637798.htm,12/5/2012,7/2/2013,M,130,Drama,Keira Knightley,Joe Wright,English,Universal Pictures International,4.5,4,8.5
Argo,http://www.abc.net.au/atthemovies/txt/s3606900.htm,10/24/2012,25/10/2012,M,120,"Biography, Drama, Thriller",Ben Affleck,Ben Affleck,English,Roadshow Films,4,4.5,8.5
Atonement,http://www.abc.net.au/atthemovies/txt/s2098422.htm,12/16/2007,26/12/2007,MA15+,123,Romantic Drama,Keira Knightley,Joe Wright,English,Universal Pictures,4.5,4,8.5
Away From Her,http://www.abc.net.au/atthemovies/txt/s2023988.htm,9/26/2007,4/10/2007,M,105,Romantic Drama,Gordon Pinsent,Sarah Polley,English,Dendy,4.5,4,8.5
Bad Education,http://www.abc.net.au/atthemovies/txt/s1316289.htm,3/16/2005,24/03/2005,MA15+,104,Drama,Fele Mart,Pedro Almod&#xFFFD;var,Spanish,Roadshow Films,4.5,4,8.5
Be Cool,http://www.abc.net.au/atthemovies/txt/s1309250.htm,3/9/2005,10/3/2005,MA15+,119,Comedy,John Travolta,F. Gary Gray,English,20th Century Fox,4.5,4,8.5
Beyond The Hills,http://www.abc.net.au/atthemovies/txt/s3813258.htm,8/6/2013,8/8/2013,M,152,Drama,Cosmina Stratan,Cristian Mungiu,Romanian,Madman,4,4.5,8.5
Boyhood,http://www.abc.net.au/atthemovies/txt/s4067799.htm,8/26/2014,4/9/2014,M,166,Drama,"Ellar Coltrane,",Richard Linklater,English,Universal Pictures International,4.5,4,8.5
Broken Flowers,http://www.abc.net.au/atthemovies/txt/s1533018.htm,12/18/2005,26/12/2005,M,105,Drama,Bill Murray,Jim Jarmusch,English,Roadshow Films,4,4.5,8.5
Burn After Reading,http://www.abc.net.au/atthemovies/txt/s2374419.htm,10/15/2008,16/10/2008,MA15+,96,Comedy/Drama,George Clooney,Ethan,English,Universal,4,4.5,8.5
Changeling,http://www.abc.net.au/atthemovies/txt/s2475908.htm,2/11/2009,5/2/2009,MA15+,141,Drama/Mystery,Angelina Jolie,Clint Eastwood,English,Universal Pictures,4,4.5,8.5
Charlie and the Chocolate Factory,http://www.abc.net.au/atthemovies/txt/s1444266.htm,8/24/2005,1/9/2005,PG,115,Fantasy,Johnny Depp,Tim Burton,English,Roadshow,4,4.5,8.5
Contagion,http://www.abc.net.au/atthemovies/txt/s3325806.htm,10/19/2011,20/10/2011,M,106,"Drama, Sci-Fi, Thriller",Matt Damon,Steven Soderbergh,English,,4,4.5,8.5
Departures,http://www.abc.net.au/atthemovies/txt/s2692973.htm,10/14/2009,15/10/2009,M,131,"Drama, Music",Masahiro Motoki,Yojiro Takita,Japanese,Madman,4.5,4,8.5
